발매트	166776	[('1701024', 0.486), ('1701027', 0.062), ('1304030', 0.386), ('1701002', 0.027), ('1701012', 0.003), ('1701025', 0.01), ('1701018', 0.002), ('1701028', 0.004), ('1707014', 0.001), ('1701008', 0.002), ('1304037', 0.002), ('1701014', 0.003), ('1304031', 0.003), ('1304048', 0.001), ('1701006', 0.001)]
침대	163296	[('1014034', 0.379), ('1014042', 0.488), ('1014043', 0.017), ('1014035', 0.042), ('1004001', 0.016), ('1014044', 0.033), ('1004004', 0.003), ('1014050', 0.001), ('1014028', 0.002), ('1006003', 0.001), ('1014046', 0.002), ('1014036', 0.006), ('1014045', 0.001), ('1006001', 0.001), ('1014030', 0.002), ('1014047', 0.001), ('1011035', 0.001)]
이불	159798	[('1704051', 0.932), ('1704050', 0.049), ('1704071', 0.001), ('1704048', 0.014), ('1704056', 0.002)]
블라인드	159285	[('1705005', 0.254), ('1705006', 0.249), ('1705025', 0.456), ('1705021', 0.003), ('1705002', 0.013), ('1705022', 0.001), ('1705019', 0.001), ('1705024', 0.007), ('1705020', 0.001), ('1705007', 0.005), ('1705010', 0.001), ('1705003', 0.006), ('1010001', 0.001)]
컴퓨터의자	157034	[('1009027', 0.984), ('1009023', 0.009), ('1012008', 0.002), ('1009015', 0.004)]
매트리스	151670	[('1004001', 0.568), ('1004004', 0.216), ('1015002', 0.034), ('1004003', 0.164), ('1014034', 0.002), ('1014042', 0.002), ('1014043', 0.002), ('1014028', 0.003), ('1704025', 0.004), ('1704007', 0.001)]
식탁의자	143597	[('1013022', 0.463), ('1012008', 0.485), ('1013011', 0.017), ('1013009', 0.019), ('1012006', 0.008), ('1013023', 0.001), ('1012002', 0.002), ('1013021', 0.001), ('1009027', 0.001)]
서랍장	142690	[('1007010', 0.748), ('1404002', 0.156), ('1009018', 0.016), ('1007011', 0.04), ('1007013', 0.003), ('1007005', 0.002), ('1010001', 0.003), ('1010005', 0.001), ('1007002', 0.005), ('1404003', 0.003), ('1009021', 0.002), ('1017004', 0.001), ('1014034', 0.001), ('1402005', 0.002), ('1007020', 0.001), ('1011011', 0.001), ('1009015', 0.001), ('1405001', 0.002), ('1013018', 0.001), ('1014042', 0.001), ('1017005', 0.001), ('1404001', 0.001), ('1405017', 0.001)]
협탁	139047	[('1007013', 0.666), ('1001002', 0.143), ('1007020', 0.079), ('1014020', 0.027), ('1007011', 0.017), ('1014042', 0.004), ('1012006', 0.012), ('1007010', 0.005), ('1808011', 0.003), ('1001005', 0.001), ('1012008', 0.004), ('1014034', 0.001), ('1404003', 0.003), ('1012004', 0.003), ('1404002', 0.006), ('1009021', 0.001), ('1017009', 0.002), ('1007012', 0.001), ('1808008', 0.001), ('1704051', 0.001), ('1808013', 0.001), ('1009015', 0.001), ('1009020', 0.002), ('1807026', 0.001), ('1001006', 0.002), ('1404001', 0.001), ('1009004', 0.001), ('2401002', 0.002), ('1014023', 0.001), ('1407008', 0.001), ('1407002', 0.001), ('1707018', 0.001)]
전신거울	138749	[('1002004', 0.942), ('1002001', 0.004), ('1017007', 0.017), ('1016002', 0.006), ('1010001', 0.001), ('1010005', 0.001), ('1017004', 0.001), ('1016003', 0.002), ('1017005', 0.001), ('1002005', 0.001), ('1016005', 0.002), ('1017006', 0.001), ('1704051', 0.001), ('1001002', 0.001), ('1005001', 0.002), ('1012006', 0.001), ('1012008', 0.001), ('1001005', 0.001), ('1009015', 0.001), ('1007020', 0.002), ('1404003', 0.001), ('1810015', 0.001), ('1801039', 0.001), ('1007006', 0.001)]
